username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,
Carmanah Signs,CarmanahSigns,3/15/2011 14:13,0,0,Come see Carmanah Signs at Globalshop in Las Vegas -... http://fb.me/vppDX2J8,,,,4.77E+16,https://twitter.com/CarmanahSigns/status/47722171031756800,
FondriestEnv,FondriestEnv,4/6/2011 18:47,0,0,Carmanah 502 Series beacons are designed to install in minutes & operate flawlessly up to 5 years without maintenance: http://bit.ly/gT9J1x,,,,5.58E+16,https://twitter.com/FondriestEnv/status/55763694440816640,
Carmanah Tech. Corp.,CarmanahTech,5/3/2011 9:01,0,0,Airport in Angola Selects Carmanah for Solar Aviation Runway... http://conta.cc/lycTmE via # constantcontact,,,#,6.54E+16,https://twitter.com/CarmanahTech/status/65400608898826240,
AccentSolars,accentsolars,5/3/2011 9:17,0,0,Airport in Angola Selects Carmanah for Solar Aviation Runway and ...: The solar powered aviation lights are the ... http://bit.ly/mTqFm3,,,,6.54E+16,https://twitter.com/accentsolars/status/65404516941574144,
Union Coast,UnionCoast,5/3/2011 9:39,1,0,Carmanah Technologies is pleased to announce solar powered aviation lights for deployment at an airport in Angola http://www.thestreet.com/story/11103359/1/airport-in-angola-selects-carmanah-for-solar-aviation-runway-and-taxiway-lights.html …,,,,6.54E+16,https://twitter.com/UnionCoast/status/65410190626926592,
Solar Energy News,SolarEnergyNews,5/3/2011 14:23,2,1,Airport in Angola Selects Carmanah for Solar Aviation Runway and Taxiway Lights http://goo.gl/fb/LPq1k,,,,6.55E+16,https://twitter.com/SolarEnergyNews/status/65481709994524672,
Verroniqa Cornistone,Verroniqa,5/5/2011 19:42,0,0,Carmanah illuminates airport in Angola - World Interior Design Network: Canada-based lighting company Carmanah T... http://bit.ly/jySj3F,,,,6.63E+16,https://twitter.com/Verroniqa/status/66286786766319617,
Oil & Gas Observer,oilgasobserver,5/6/2011 13:11,0,0,Carmanah announces sale of solar aviation lights for airport in Angola http://bit.ly/ltQxfg,,,,6.66E+16,https://twitter.com/oilgasobserver/status/66550606998933504,
Airport Business,ABToday,5/9/2011 10:24,0,0,Airport in Angola Chooses Carmanah for Solar Aviation Runway and Taxiway Lights http://tinyurl.com/3pkfmod,,,,6.76E+16,https://twitter.com/ABToday/status/67595719535640577,
Business Wire-Enviro,BW_Environment,5/25/2011 9:07,0,0,"International Airport in Latin America Selects Carmanah Airfield Emergency Back Up Lighting Valued at Almost $800,000 http://dlvr.it/Sy0yZ",,,,7.34E+16,https://twitter.com/BW_Environment/status/73374543539998720,
Business Wire-Energy,BW_Energy,5/25/2011 9:11,0,0,"International Airport in Latin America Selects Carmanah Airfield Emergency Back Up Lighting Valued at Almost $800,000 http://dlvr.it/Sy2Mx",,,,7.34E+16,https://twitter.com/BW_Energy/status/73375690380148736,
