username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Flash Technology,flashtechnology,9/28/2016 12:50,0,3,Gary is ready for # CANEW with an # FTS800 # airportbeacon - Let's discuss your # airportlighting or # heliportlighting needs!pic.twitter.com/BTZQmc9ZBy,,,# # # # #,7.81E+17,https://twitter.com/flashtechnology/status/781174145073618944
Flash Technology,flashtechnology,5/31/2018 15:18,1,2,Cool treats from @ BradleysCreamry a hot day for our hardworking staff!pic.twitter.com/02U8kFHp0i,,@,,1.00E+18,https://twitter.com/flashtechnology/status/1002268070625398785
Flash Technology,flashtechnology,5/8/2018 10:45,1,2,". @ AWEA # WINDPOWER2018 exhibits are open! Stop by booth #3017 for a live demo of the FTS 370i, FTS 371 SMART OL2 and OL800. # windpower # windturbinelighting # windenergy # aweapic.twitter.com/dSMNtBFt7b",,@,# #3017 # # # #,9.94E+17,https://twitter.com/flashtechnology/status/993864531112701952
Flash Technology,flashtechnology,8/11/2017 9:45,1,2,"Flash is proud to support @ MusicMvmt, and thanks Amanda O'Connor and Wade Collins for representing the company at the event.pic.twitter.com/X0zaLs2xpA",,@,,8.96E+17,https://twitter.com/flashtechnology/status/896004640742965249
Spares in Motion,SparesinMotion,10/29/2014 5:52,0,2,Welcome tp SPX Flash Technology from the US with Aviation Warning Lights for # Windturbines on http://SparesInMotion.com http://bit.ly/ZZ84Fa,,,#,5.27E+17,https://twitter.com/SparesinMotion/status/527397553352892416
Flash Technology,flashtechnology,6/27/2018 13:00,0,2,Amusement park rides of a certain height are obstructions to be marked. And Flash is proud to have a Vanguard® Medium FTS 370d LED obstruction lighting system sitting atop the Cedar Point WindSeeker! Check out the ride & the light in action: https://youtu.be/CKJsRF-HeG8,,,,1.01E+18,https://twitter.com/flashtechnology/status/1012017825542803457
Flash Technology,flashtechnology,12/28/2017 10:20,0,2,Working on your New Year # resolutions? Keep in mind these wise words from # CSLewis . # HappyNewYear!pic.twitter.com/nwRwPf6c1v,,,# # #,9.46E+17,https://twitter.com/flashtechnology/status/946400508373295104
Flash Technology,flashtechnology,6/22/2018 10:59,0,2,"Despite their best efforts, our Tech Support team could not make this system flash at 30 flashes per minute. Houston, here’s your problem. pic.twitter.com/r3dWxHhvi7",,,,1.01E+18,https://twitter.com/flashtechnology/status/1010175326595534848
Flash Technology,flashtechnology,2/20/2018 15:41,0,2,Connor and Mitch are catching up on emails and orders while waiting on # nateunite2018 exhibits to open. Make sure to store by and see us in booth 302!pic.twitter.com/Eu3lrtApxJ,,,#,9.66E+17,https://twitter.com/flashtechnology/status/966050199629127689
Flash Technology,flashtechnology,6/6/2017 10:27,0,2,Should you refile under 1L? Understand the factors before deciding on a refile in the June issue of @ AGLMediaGrp.http://ow.ly/KADf30cmqug,,@,,8.72E+17,https://twitter.com/flashtechnology/status/872097718163976196
Flash Technology,flashtechnology,5/18/2017 13:13,0,2,Beautiful day for the @ CWAssociation 12th Annual Charity Golf Tournament at @ PinehurstResort # flashaboutpic.twitter.com/ymSdv8YaXS,,@ @,#,8.65E+17,https://twitter.com/flashtechnology/status/865253978035994624
Flash Technology,flashtechnology,4/18/2017 9:45,0,2,FREE FAA lighting webinar for @ UTCNow members on 5/4. Understand FAA lighting changes & get questions. Sign up at http://ow.ly/tMiW30aVOc7,,@,,8.54E+17,https://twitter.com/flashtechnology/status/854329987687731201
Flash Technology,flashtechnology,3/8/2017 13:10,0,2,MKR371 features an access port for easier wiring & accurate monitoring of flashing low-power markers in all weatherhttp://ow.ly/SWDc309I0BI,,,,8.40E+17,https://twitter.com/flashtechnology/status/839538750837383168
Flash Technology,flashtechnology,2/14/2017 10:17,0,2,"How do our lighting systems feel after a good install? Happy Valentines Day, friends!pic.twitter.com/NPz3r95rFm",,,,8.32E+17,https://twitter.com/flashtechnology/status/831522751760437248
Flash Technology,flashtechnology,6/6/2016 9:45,0,2,A little # MotivationMonday for # TowerClimbers everywhere!pic.twitter.com/aAcUV6IJP9,,,# #,7.40E+17,https://twitter.com/flashtechnology/status/739815408585314304
Flash Technology,flashtechnology,3/29/2018 12:12,0,2,12 # USAF # KC135 # Stratotankers assigned to the 100th Air Refueling Wing taxi down the runway at # rafmildenhall. This # elephantwalk demonstrates the readiness to provide global air refueling support at short notice. RAF Mildenhall employs our FTS 800 # ALSF. # airportlighting pic.twitter.com/7Tbsf1pWqf,,,# # # # # # #,9.79E+17,https://twitter.com/flashtechnology/status/979390737178681344
Spares in Motion,SparesinMotion,10/29/2014 5:52,0,2,Welcome tp SPX Flash Technology from the US with Aviation Warning Lights for # Windturbines on http://SparesInMotion.com http://bit.ly/ZZ84Fa,,,#,5.27E+17,https://twitter.com/SparesinMotion/status/527397553352892416
Lance Jepsen,lancejepsen,6/11/2017 13:08,3,1,7 Minutes of Horror From Friday's Flash Crash In Technology $ SPX $ SPY # nasdaq # stockmarket # stocktrading https://goo.gl/kygzZ9 pic.twitter.com/zMZfONGfCw,,,# # #,8.74E+17,https://twitter.com/lancejepsen/status/873950068839129088
Flash Technology,flashtechnology,4/24/2018 10:00,2,1,"Do you service xenon lighting equipment? Ever replaced a timing and trigger board, and didn't know how to program it? If this sounds like you, check out our latest Flash University video. Bill walks us through the process using Tech Eagle. https://youtu.be/BjM_-pBDVAo",,,,9.89E+17,https://twitter.com/flashtechnology/status/988779733352632320
Corus360,Corus360,3/28/2013 11:09,1,1,Flash Technology explained in less than 5 minutes! http://www.emc.com/collateral/demos/microsites/mediaplayer-video/flash-technology-emc.htm … # EMC # FlashTechnology,,,# #,3.17E+17,https://twitter.com/Corus360/status/317292356154040321
Flash Technology,flashtechnology,8/22/2016 11:21,1,1,Coming to @ CTIAShows? Visit us in booth 4548 if you have questions on # FAA AC 70-7460-1L or lighting reqs on structures below 200′ AGL.,,@,#,7.68E+17,https://twitter.com/flashtechnology/status/767743399986204672
Flash Technology,flashtechnology,5/19/2016 9:28,1,1,Looking forward to seeing everyone next week at @PCIA in Dallas! # wishow,,@PCIA,#,7.33E+17,https://twitter.com/flashtechnology/status/733288237569990657
Corus360,Corus360,3/28/2013 11:09,1,1,Flash Technology explained in less than 5 minutes! http://www.emc.com/collateral/demos/microsites/mediaplayer-video/flash-technology-emc.htm … # EMC # FlashTechnology,,,# #,3.17E+17,https://twitter.com/Corus360/status/317292356154040321
Flash Technology,flashtechnology,7/11/2018 11:18,0,1,Discover best practices for installing the Vanguard® Medium FTS 370d obstruction lighting system.https://youtu.be/fWKAkd0oLZU,,,,1.02E+18,https://twitter.com/flashtechnology/status/1017065550650933248
Michael Smith,LIGHTINGAGENT,5/20/2017 14:13,0,1,"Global LED Obstruct Lighting Market-Flash Technology (SPX), Obelux, Dialight, TRANBERG - Publicist Report - Market Research News by Market.…",,,,8.66E+17,https://twitter.com/LIGHTINGAGENT/status/865993821888405504
ZipRecruiter Jobs,ZRJobs,12/28/2015 13:48,0,1,"SPX Flash Technology is # hiring Regional Sales Manager in Franklin, TN http://ziprecruiter.com/tj/ebdda538 # jobs # Franklin # Sales # BizDev",,,# # # # #,6.82E+17,https://twitter.com/ZRJobs/status/681547377031950341
Flash Technology,flashtechnology,7/11/2018 11:18,0,1,Discover best practices for installing the Vanguard® Medium FTS 370d obstruction lighting system. https://youtu.be/fWKAkd0oLZU,,,,1.02E+18,https://twitter.com/flashtechnology/status/1017065550650933248
Genesis Lamp,GenesisLampCorp,10/12/2017 15:34,0,1,Flash Technology’s Vanguard LED obstruction lighting system http://sumo.ly/HdLt via @ Windpower_Eng,,@,,9.19E+17,https://twitter.com/GenesisLampCorp/status/918560423028383746
Healthy 44 Care,H44Care,1/11/2018 11:26,0,1,Flash Technology FTB324-3 Tower light system FAA L-864/L-865 FH324 strobe/LED http://leto.steinstone.info/US/categories/twt/?item=332517299266 …,,,,9.51E+17,https://twitter.com/H44Care/status/951490461616754688
Patricia W. Adam,patriciawadam,3/26/2017 15:20,0,1,Tower Lighting !!!! Vanguard Led Series By Flash Technology FTS 370d https://goo.gl/fb/UEKBlT,,,,8.46E+17,https://twitter.com/patriciawadam/status/846079320384716800
Tech Daily,TechDailyNow,2/18/2016 2:26,0,1,Eiffel Tower Flash Drive (8 GB) where can I buy this? - # tech # technews # technology http://techdaily.xyz/eiffel-tower-flash-drive-8-gb-where-can-i-buy-this/ …pic.twitter.com/4mnQxLn7x6,,,# # #,7.00E+17,https://twitter.com/TechDailyNow/status/700219876678463488
Patricia W. Adam,patriciawadam,3/26/2017 15:20,0,1,Tower Lighting !!!! Vanguard Led Series By Flash Technology FTS 370d https://goo.gl/fb/UEKBlT,,,,8.46E+17,https://twitter.com/patriciawadam/status/846079320384716800
Michael Smith,LIGHTINGAGENT,5/20/2017 14:13,0,1,"Global LED Obstruct Lighting Market-Flash Technology (SPX), Obelux, Dialight, TRANBERG - Publicist Report - Market Research News by Market.…",,,,8.66E+17,https://twitter.com/LIGHTINGAGENT/status/865993821888405504
Flash Technology,flashtechnology,6/19/2018 11:08,0,1,SET IT & FORGET IT with the Vanguard® Inclusive Program (VIP): - Capital expense model — no operating expenses -Predictable budgeting — one-time flat rate fee -For new & existing Vanguard lighting systems -5-year parts & labor warranty on new systems http://ow.ly/QjwL30kzcfG pic.twitter.com/R5mDpWajgZ,,,,1.01E+18,https://twitter.com/flashtechnology/status/1009090589848203264
Flash Technology,flashtechnology,4/9/2018 10:10,0,1,Obstruction lighting systems ship with a variety of tape. Ensure you understand why and how to properly secure cables to the tower using the 2-3-4 tape method.https://youtu.be/PLGOeuxTP4U,,,,9.83E+17,https://twitter.com/flashtechnology/status/983346449810259970
Flash Technology,flashtechnology,8/14/2017 11:05,0,1,BKK was the world's most popular Instagram photo site in 2012. Bet none of them captured our FTS 800 though!http://ow.ly/tY5T30elGgR,,,,8.97E+17,https://twitter.com/flashtechnology/status/897111863535828992
